2023-07-31 14:00:19.081 CEST [7640] LOG:  checkpoint starting: time
2023-07-31 14:00:19.427 CEST [7640] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.320 s, sync=0.007 s, total=0.346 s; sync files=4, longest=0.003 s, average=0.002 s; distance=1 kB, estimate=1838 kB
2023-07-31 14:15:19.437 CEST [7640] LOG:  checkpoint starting: time
2023-07-31 14:15:19.790 CEST [7640] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.335 s, sync=0.006 s, total=0.354 s; sync files=4, longest=0.002 s, average=0.002 s; distance=1 kB, estimate=1655 kB
2023-07-31 20:33:37.391 CEST [19224] FATAL:  expected SASL response, got message type 88
2023-07-31 20:34:02.813 CEST [29432] FATAL:  password authentication failed for user "postgres"
2023-07-31 20:34:02.813 CEST [29432] DETAIL:  Connection matched pg_hba.conf line 89: "host    all             all             ::1/128                 scram-sha-256"
2023-07-31 21:18:00.334 CEST [36492] FATAL:  password authentication failed for user "postgres"
2023-07-31 21:18:00.334 CEST [36492] DETAIL:  Connection matched pg_hba.conf line 89: "host    all             all             ::1/128                 scram-sha-256"
2023-07-31 21:18:18.442 CEST [34988] FATAL:  password authentication failed for user "postgres"
2023-07-31 21:18:18.442 CEST [34988] DETAIL:  Connection matched pg_hba.conf line 89: "host    all             all             ::1/128                 scram-sha-256"
2023-07-31 21:19:47.417 CEST [39912] FATAL:  password authentication failed for user "postgres"
2023-07-31 21:19:47.417 CEST [39912] DETAIL:  Connection matched pg_hba.conf line 89: "host    all             all             ::1/128                 scram-sha-256"
2023-07-31 21:48:27.818 CEST [22492] FATAL:  password authentication failed for user "postgres"
2023-07-31 21:48:27.818 CEST [22492] DETAIL:  Connection matched pg_hba.conf line 89: "host    all             all             ::1/128                 scram-sha-256"
2023-07-31 21:50:07.079 CEST [32820] FATAL:  password authentication failed for user "postgres"
2023-07-31 21:50:07.079 CEST [32820] DETAIL:  Connection matched pg_hba.conf line 89: "host    all             all             ::1/128                 scram-sha-256"
2023-07-31 21:50:42.409 CEST [40828] FATAL:  password authentication failed for user "postgres"
2023-07-31 21:50:42.409 CEST [40828] DETAIL:  Connection matched pg_hba.conf line 89: "host    all             all             ::1/128                 scram-sha-256"
2023-07-31 21:55:46.365 CEST [7640] LOG:  checkpoint starting: time
2023-07-31 21:55:46.719 CEST [7640] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.325 s, sync=0.009 s, total=0.354 s; sync files=4, longest=0.004 s, average=0.003 s; distance=1 kB, estimate=1489 kB
2023-07-31 22:00:46.719 CEST [7640] LOG:  checkpoint starting: time
2023-07-31 22:00:47.074 CEST [7640] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.330 s, sync=0.005 s, total=0.355 s; sync files=4, longest=0.003 s, average=0.002 s; distance=1 kB, estimate=1340 kB
2023-07-31 22:01:00.200 CEST [25392] FATAL:  password authentication failed for user "postgres"
2023-07-31 22:01:00.200 CEST [25392] DETAIL:  Connection matched pg_hba.conf line 89: "host    all             all             ::1/128                 scram-sha-256"
2023-07-31 22:05:46.079 CEST [7640] LOG:  checkpoint starting: time
2023-07-31 22:05:46.434 CEST [7640] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.331 s, sync=0.007 s, total=0.356 s; sync files=4, longest=0.003 s, average=0.002 s; distance=1 kB, estimate=1206 kB
